-10.000000	43.143743
-9.310345	13.356285
-8.620690	-6.688081
-7.931034	12.248748
-7.241379	34.454299
-6.551724	22.450822
-5.862069	-2.335017
-5.172414	-2.812183
-4.482759	12.326423
-3.793103	13.897784
-3.103448	3.470280
-2.413793	-0.845874
-1.724138	0.927317
-1.034483	0.892082
-0.344828	0.075518
0.344828	0.082774
1.034483	1.321864
1.724138	0.662545
2.413793	-10.293791
3.103448	4.400676
3.793103	93.777603
4.482759	94.080702
5.172414	-234.910107
5.862069	-401.936501
6.551724	559.446310
7.241379	1628.352554
7.931034	-336.248175
8.620690	-4153.101485
9.310345	-1373.076877
10.000000	9319.362413
